sample_name	UMAP_x	UMAP_y	umap_hdb_cluster_labels	kmeans_cluster_labels
P00030	1.4451102	3.3080993	-1	6
P00061	5.117915	1.8965908	1	1
P00127	3.01337	1.9929487	2	9
P00175	-0.46343535	4.1950483	10	8
P00078	-0.32807612	6.449783	4	8
P00173	-0.4808971	2.4818008	5	0
P00092	1.7369854	3.6057348	7	6
P00121	3.2561514	2.255666	2	9
P00042	0.920148	2.7174704	6	2
P00160	0.33319986	2.0535467	-1	2
P00036	0.76778185	3.475046	8	6
P00075	-0.30872107	4.757997	9	5
P00126	-1.1994703	4.3894515	-1	8
P00080	0.01650897	6.5572424	4	3
P00198	-0.2711344	3.567581	-1	6
P00007	-0.5450768	4.879702	9	8
P00058	-1.3171661	3.4116962	11	6
P00163	-0.4447999	4.8620815	9	5
P00015	1.161458	4.2232614	8	5
P00051	2.0543978	6.031804	4	4
P00048	3.5021675	2.7628877	3	9
P00083	1.3703018	5.798872	4	4
P00076	-0.22237308	3.628339	-1	3
P00106	3.7076874	2.5057425	3	9
P00090	-0.87581855	3.7007997	-1	8
P00137	-1.2670497	4.561988	-1	8
P00115	3.404539	3.6091127	-1	3
P00027	5.0714498	2.1808178	1	1
P00186	3.1255572	2.0863075	2	9
P00096	1.303608	2.1847222	6	2
P00071	0.29046294	4.633798	-1	5
P00159	4.2191396	2.317214	3	7
P00063	1.1841418	5.528191	4	4
P00138	-1.1385584	4.4258966	-1	8
P00019	0.9107478	4.5282264	8	5
P00124	0.7312219	5.70006	4	6
P00194	3.9043	2.100196	3	7
P00085	-1.2091027	4.5183363	-1	8
P00113	3.760506	3.9143221	0	9
P00182	3.975062	2.0915072	3	7
P00050	0.9513374	3.8303268	8	5
P00066	1.0955024	4.912554	-1	5
P00149	-1.0446934	4.069325	12	8
P00017	3.7429745	2.7836616	3	9
P00169	-0.50908273	4.909052	9	8
P00052	-1.3191427	3.360721	11	6
P00002	-0.59028727	4.7865467	9	8
P00067	-0.018372662	6.545137	4	4
P00174	3.733979	2.9236379	3	9
P00132	1.2015263	4.1938286	8	5
P00008	0.6027147	6.3128376	4	4
P00143	1.1467233	1.6228105	-1	2
P00079	1.5369531	6.563962	4	4
P00062	0.48126638	6.58946	4	4
P00041	2.088069	3.5949705	-1	5
P00012	3.8009217	3.837798	0	9
P00152	3.8095908	2.8064697	3	9
P00189	1.2879055	5.6112785	4	4
P00028	4.1330004	3.0366852	3	6
P00032	1.1115236	1.7324097	6	2
P00170	-0.8186767	4.2321453	12	8
P00046	5.272238	1.9253908	1	1
P00065	1.3163184	5.925608	4	4
P00150	0.08442011	4.0752244	-1	5
P00151	0.35107905	2.4098322	6	2
P00049	4.476915	2.8883266	3	9
P00060	0.850862	5.780853	4	6
P00135	4.2263675	3.101152	3	9
P00128	-1.3764997	3.3031638	11	6
P00074	1.1347865	5.1961226	4	3
P00006	1.2664307	1.5810132	-1	2
P00020	0.959768	3.747293	8	5
P00141	0.24240457	4.558516	-1	5
P00045	-0.6274887	4.065937	-1	8
P00117	4.727517	2.5815299	-1	9
P00145	1.2419059	1.6153132	-1	2
P00034	1.1427159	6.553531	4	4
P00013	0.94031835	6.3138103	4	4
P00039	-0.6888139	2.660789	5	0
P00101	4.162232	2.752176	3	9
P00107	0.8938627	2.1656733	6	2
P00025	1.4628981	6.717207	4	4
P00059	0.7156052	2.504764	6	2
P00010	1.5912567	6.6047297	4	2
P00095	0.8345187	2.0739734	6	2
P00003	0.870495	4.3016233	8	5
P00073	0.9787521	2.575708	6	2
P00004	-0.6148639	2.4344432	5	0
P00183	1.1799663	2.2773364	6	2
P00026	0.22225721	6.704556	4	8
P00056	4.2512875	2.6313543	3	9
P00184	0.92159796	2.5792377	6	2
P00014	4.3357716	2.924202	3	9
P00068	3.63596	3.052381	3	9
P00114	1.5975279	3.8825014	-1	5
P00147	0.786259	5.869241	4	4
P00165	-0.5181749	4.8904657	9	8
P00054	0.8539082	2.7329438	6	2
P00116	-0.29904073	4.4347234	-1	8
P00179	3.8701289	2.7505548	3	9
P00172	3.7093487	2.8902519	3	9
P00190	3.7328088	3.891499	0	9
P00156	1.6340761	3.4300368	7	6
P00077	3.917691	3.695776	0	9
P00181	-0.5563958	4.870631	9	8
P00011	1.087779	6.2179155	4	4
P00047	-1.2724365	3.3627	11	6
P00031	0.94407696	2.7125297	6	2
P00053	-0.41902593	4.1363583	10	5
P00134	1.2695988	3.330483	-1	6
P00154	5.142323	1.9872284	1	1
P00168	1.0214378	4.0876513	8	5
P00157	1.6199867	6.5707865	4	2
P00139	2.4180393	3.2580738	-1	9
P00188	1.9077722	5.7436924	4	3
P00200	-0.8569005	3.4977343	-1	6
P00038	3.0525646	2.008089	2	9
P00177	0.5691116	2.9003549	6	2
P00070	4.262646	3.084092	3	9
P00118	2.2297862	3.4917545	-1	5
P00123	0.82055485	5.622376	4	6
P00136	-0.6178409	2.4458098	5	0
P00111	0.7719389	5.900473	4	4
P00022	0.7369655	4.5446405	8	5
P00103	4.2839446	3.0393791	3	9
P00463	-0.07959667	6.026676	4	8
P00477	1.0587232	6.1449804	4	4
P00534	0.57155555	3.8295317	8	6
P00503	3.6939924	2.4001455	3	9
P00520	1.077197	6.16628	4	3
P00444	0.07945753	4.116191	-1	5
P00483	3.765476	2.8047376	3	9
P00476	1.0781294	3.7148693	8	5
P00538	3.2980642	2.9693503	-1	9
P00478	1.4948934	5.584786	4	4
P00607	0.005415876	6.5197773	4	8
